0.0281587	-0.0774318	-1.69165
-14.3688	-0.104038	-1.81399
14.5822 	-0.105078	-1.88628
-14.2613	 14.4123	-1.52694
0.182278	  14.452	-1.83422
29.0748	          29.0748	-1.85849
-28.7293	 28.8883	-1.5746
0.244673	  28.797	-1.79941
7.31614	         28.7772	-1.86477
43.534	         28.8957	-1.77614
-14.236	         43.2701	-1.86886
0.227978	  43.2028	-1.8775
14.5765	          43.163	-1.26156
29.1259	          29.1259	29.1259
43.6345	          43.1874	-1.84508
0.224657	  57.6158	-1.71988
14.728	          57.6681	-1.89668
43.542	          57.6321	-1.8778
